word,freq
fanny,2
cutest,7
coziest,1
cafe,106
pulpo,4
cutomer,1
approachable,6
gta,14
freshest,29
condiment,3
snacks,34
larger,8
parties,12
learn,6
changing,12
tax,28
ham,22
feta,14
blend,21
soft,39
heckler,1
someplace,1
brilliant,21
palette,2
young,21
girl,30
named,10
rate,22
clue,5
stroganoff,1
brother,3
perogies,14
n,56
overlooks,4
grass,8
valley,1
golf,1
recommed,1
several,34
continue,26
pan,25
buns,35
wow,27
mochacino,1
stand,27
adjust,2
amour,1
soigneusement,1
devant,3
nos,2
yeux,1
famille,1
chinoise,2
plats,9
sont,16
riches,2
saveur,2
revenir,1
conseille,1
monde,2
aller,3
competent,3
needed,40
assistance,1
dropped,29
chopstick,2
dudes,6
band,22
imo,6
mario,1
treats,29
childhood,3
kept,47
surprising,10
parent,1
personable,22
talked,7
talking,27
portioned,8
tons,46
unprecedented,1
cups,11
confirm,4
vermicelli,14
veggies,50
stews,5
soondoobu,1
chigae,1
ive,36
lunchtime,4
fine,68
comment,28
waitresses,33
tips,8
ceviche,51
famous,28
dim,35
sum,26
ginger,45
pacific,5
khar,1
san,35
road,23
staying,20
hotel,35
deq,1
tiff,9
deck,6
contemporary,5
costal,1
hole,33
underwhelmed,4
suggests,1
espresso,74
foccacia,6
amazeballs,1
salumeria,1
deli,23
meet,44
kindest,5
bbq,155
haedapbap,1
jason,5
superstar,1
greet,11
languages,1
pear,26
omelette,39
mate,3
building,14
teas,16
crunchy,22
oily,18
ethiopian,43
injera,7
held,8
sized,36
zelena,1
maki,33
generation,3
dingy,2
upside,2
provided,35
enjoying,35
sort,27
neighborhood,63
jewel,4
becomes,5
familiar,7
becoming,10
commonplace,1
pate,3
bouillabaisse,4
ample,21
antidote,1
missing,3
understands,3
concept,35
lover,24
views,16
seasonally,1
features,11
canadian,42
sourced,6
hidden,28
dumps,1
hater,1
couples,10
groups,29
waited,39
madeleines,3
ascari,1
campagnolo,1
phenomenal,44
communal,9
cook,41
comfy,22
specialty,20
load,7
topping,27
yam,9
lift,1
sleepy,1
decide,19
octipus,1
ox,8
greatly,14
improved,14
fieramosca,3
trendy,59
ravioli,44
overly,36
